ID,experimental_phase,group,date,rnd,intake
413,Baseline,Uncertainty,2022-09-26,3,65
414,Baseline,No-Uncertainty,2022-09-26,3,43
415,Baseline,No-Uncertainty,2022-09-26,3,60
416,Baseline,Uncertainty,2022-09-26,3,81
417,Baseline,Uncertainty,2022-09-26,3,40
418,Baseline,Uncertainty,2022-09-26,3,43
419,Baseline,Uncertainty,2022-09-26,3,64
420,Baseline,No-Uncertainty,2022-09-26,3,59
421,Baseline,No-Uncertainty,2022-09-26,3,61
422,Baseline,No-Uncertainty,2022-09-26,3,89
413,Baseline,Uncertainty,2022-09-27,3,73
414,Baseline,No-Uncertainty,2022-09-27,3,55
415,Baseline,No-Uncertainty,2022-09-27,3,71
416,Baseline,Uncertainty,2022-09-27,3,78
417,Baseline,Uncertainty,2022-09-27,3,57
418,Baseline,Uncertainty,2022-09-27,3,50
419,Baseline,Uncertainty,2022-09-27,3,72
420,Baseline,No-Uncertainty,2022-09-27,3,51
421,Baseline,No-Uncertainty,2022-09-27,3,75
422,Baseline,No-Uncertainty,2022-09-27,3,77
413,Baseline,Uncertainty,2022-09-28,3,66
414,Baseline,No-Uncertainty,2022-09-28,3,31
415,Baseline,No-Uncertainty,2022-09-28,3,71
416,Baseline,Uncertainty,2022-09-28,3,70
417,Baseline,Uncertainty,2022-09-28,3,62
418,Baseline,Uncertainty,2022-09-28,3,83
419,Baseline,Uncertainty,2022-09-28,3,31
420,Baseline,No-Uncertainty,2022-09-28,3,40
421,Baseline,No-Uncertainty,2022-09-28,3,92
422,Baseline,No-Uncertainty,2022-09-28,3,88
413,Baseline,Uncertainty,2022-09-29,3,66
414,Baseline,No-Uncertainty,2022-09-29,3,55
415,Baseline,No-Uncertainty,2022-09-29,3,63
416,Baseline,Uncertainty,2022-09-29,3,63
417,Baseline,Uncertainty,2022-09-29,3,67
418,Baseline,Uncertainty,2022-09-29,3,63
419,Baseline,Uncertainty,2022-09-29,3,64
420,Baseline,No-Uncertainty,2022-09-29,3,65
421,Baseline,No-Uncertainty,2022-09-29,3,76
422,Baseline,No-Uncertainty,2022-09-29,3,83
413,Baseline,Uncertainty,2022-09-30,3,72
414,Baseline,No-Uncertainty,2022-09-30,3,57
415,Baseline,No-Uncertainty,2022-09-30,3,60
416,Baseline,Uncertainty,2022-09-30,3,66
417,Baseline,Uncertainty,2022-09-30,3,49
418,Baseline,Uncertainty,2022-09-30,3,71
419,Baseline,Uncertainty,2022-09-30,3,57
420,Baseline,No-Uncertainty,2022-09-30,3,62
421,Baseline,No-Uncertainty,2022-09-30,3,78
422,Baseline,No-Uncertainty,2022-09-30,3,64
413,Baseline,Uncertainty,2022-10-01,3,72
414,Baseline,No-Uncertainty,2022-10-01,3,58
415,Baseline,No-Uncertainty,2022-10-01,3,60
416,Baseline,Uncertainty,2022-10-01,3,57
417,Baseline,Uncertainty,2022-10-01,3,65
418,Baseline,Uncertainty,2022-10-01,3,75
419,Baseline,Uncertainty,2022-10-01,3,58
420,Baseline,No-Uncertainty,2022-10-01,3,65
421,Baseline,No-Uncertainty,2022-10-01,3,71
422,Baseline,No-Uncertainty,2022-10-01,3,63
413,Baseline,Uncertainty,2022-10-02,3,62
414,Baseline,No-Uncertainty,2022-10-02,3,72
415,Baseline,No-Uncertainty,2022-10-02,3,45
416,Baseline,Uncertainty,2022-10-02,3,66
417,Baseline,Uncertainty,2022-10-02,3,42
418,Baseline,Uncertainty,2022-10-02,3,54
