ID,sensor,licks,session_number
413,sucrose,3011,1
413,sucrose,2471,2
413,sucrose,1312,3
413,water,44,1
413,water,221,2
413,water,45,3
414,sucrose,3649,1
414,sucrose,2454,2
414,sucrose,1595,3
414,water,89,1
414,water,41,2
414,water,42,3
415,sucrose,3694,1
415,sucrose,3051,2
415,sucrose,1368,3
415,water,66,1
415,water,65,2
415,water,59,3
416,sucrose,2686,1
416,sucrose,3020,2
416,water,63,1
416,water,53,2
417,sucrose,2807,1
417,sucrose,3531,2
417,sucrose,4558,3
417,water,63,1
417,water,105,2
417,water,68,3
418,sucrose,10331,1
418,sucrose,3981,2
418,sucrose,5958,3
418,water,78,1
418,water,64,2
418,water,23,3
419,sucrose,4578,1
419,sucrose,6071,2
419,sucrose,3564,3
419,water,16,1
419,water,30,2
419,water,67,3
420,sucrose,2018,1
420,sucrose,3325,2
420,sucrose,1374,3
420,water,48,1
420,water,16,2
420,water,62,3
421,sucrose,314,1
421,sucrose,414,2
421,sucrose,568,3
421,water,26,1
421,water,12,2
421,water,38,3
422,sucrose,1187,1
422,sucrose,642,2
422,sucrose,1068,3
422,water,21,1
422,water,8,2
422,water,9,3
