ID,date,weight,group,experimental_phase
413,2022-09-21,25.83,Uncertainty,Baseline
414,2022-09-21,26.41,No-Uncertainty,Baseline
415,2022-09-21,25.1,No-Uncertainty,Baseline
416,2022-09-21,23.87,Uncertainty,Baseline
417,2022-09-21,24.27,Uncertainty,Baseline
418,2022-09-21,24.5,Uncertainty,Baseline
419,2022-09-21,24.33,Uncertainty,Baseline
420,2022-09-21,25,No-Uncertainty,Baseline
421,2022-09-21,24.96,No-Uncertainty,Baseline
422,2022-09-21,24.27,No-Uncertainty,Baseline
413,2022-09-23,25.55,Uncertainty,Baseline
414,2022-09-23,25.77,No-Uncertainty,Baseline
415,2022-09-23,25.13,No-Uncertainty,Baseline
416,2022-09-23,24.47,Uncertainty,Baseline
417,2022-09-23,24.33,Uncertainty,Baseline
418,2022-09-23,24.58,Uncertainty,Baseline
419,2022-09-23,23.86,Uncertainty,Baseline
420,2022-09-23,24.3,No-Uncertainty,Baseline
421,2022-09-23,24.1,No-Uncertainty,Baseline
422,2022-09-23,24.1,No-Uncertainty,Baseline
413,2022-09-26,25.4,Uncertainty,Baseline
414,2022-09-26,25,No-Uncertainty,Baseline
415,2022-09-26,24.63,No-Uncertainty,Baseline
416,2022-09-26,25.51,Uncertainty,Baseline
417,2022-09-26,25,Uncertainty,Baseline
418,2022-09-26,24,Uncertainty,Baseline
419,2022-09-26,24.61,Uncertainty,Baseline
420,2022-09-26,23.83,No-Uncertainty,Baseline
421,2022-09-26,24.96,No-Uncertainty,Baseline
422,2022-09-26,23.65,No-Uncertainty,Baseline
413,2022-09-28,25.56,Uncertainty,Baseline
414,2022-09-28,26.06,No-Uncertainty,Baseline
415,2022-09-28,24.6,No-Uncertainty,Baseline
416,2022-09-28,25.26,Uncertainty,Baseline
417,2022-09-28,24.7,Uncertainty,Baseline
418,2022-09-28,24.1,Uncertainty,Baseline
419,2022-09-28,24.4,Uncertainty,Baseline
420,2022-09-28,24.56,No-Uncertainty,Baseline
421,2022-09-28,24.9,No-Uncertainty,Baseline
422,2022-09-28,24.1,No-Uncertainty,Baseline
413,2022-09-30,25.7,Uncertainty,Baseline
414,2022-09-30,26.7,No-Uncertainty,Baseline
415,2022-09-30,24.9,No-Uncertainty,Baseline
416,2022-09-30,24.87,Uncertainty,Baseline
417,2022-09-30,24.7,Uncertainty,Baseline
418,2022-09-30,24.2,Uncertainty,Baseline
419,2022-09-30,24.42,Uncertainty,Baseline
420,2022-09-30,25.1,No-Uncertainty,Baseline
421,2022-09-30,25.1,No-Uncertainty,Baseline
422,2022-09-30,24.6,No-Uncertainty,Baseline
413,2022-10-03,25.85,Uncertainty,Baseline
414,2022-10-03,27.04,No-Uncertainty,Baseline
415,2022-10-03,25.01,No-Uncertainty,Baseline
416,2022-10-03,25.43,Uncertainty,Baseline
417,2022-10-03,24.14,Uncertainty,Baseline
418,2022-10-03,23.79,Uncertainty,Baseline
419,2022-10-03,23.84,Uncertainty,Baseline
420,2022-10-03,24.5,No-Uncertainty,Baseline
421,2022-10-03,25.32,No-Uncertainty,Baseline
422,2022-10-03,25.1,No-Uncertainty,Baseline
413,2022-10-05,25.85,Uncertainty,Experimental
414,2022-10-05,26.9,No-Uncertainty,Experimental
415,2022-10-05,25.2,No-Uncertainty,Experimental
416,2022-10-05,25.03,Uncertainty,Experimental
417,2022-10-05,23.9,Uncertainty,Experimental
418,2022-10-05,23.03,Uncertainty,Experimental
419,2022-10-05,23.8,Uncertainty,Experimental
420,2022-10-05,24.2,No-Uncertainty,Experimental
421,2022-10-05,26.31,No-Uncertainty,Experimental
422,2022-10-05,24.6,No-Uncertainty,Experimental
413,2022-10-07,25.37,Uncertainty,Experimental
414,2022-10-07,26.72,No-Uncertainty,Experimental
415,2022-10-07,25.76,No-Uncertainty,Experimental
416,2022-10-07,24.88,Uncertainty,Experimental
417,2022-10-07,22.8,Uncertainty,Experimental
418,2022-10-07,23.1,Uncertainty,Experimental
419,2022-10-07,24.33,Uncertainty,Experimental
420,2022-10-07,24.3,No-Uncertainty,Experimental
421,2022-10-07,26.32,No-Uncertainty,Experimental
422,2022-10-07,24.69,No-Uncertainty,Experimental
413,2022-10-11,25.8,Uncertainty,Experimental
414,2022-10-11,26.5,No-Uncertainty,Experimental
415,2022-10-11,26.06,No-Uncertainty,Experimental
416,2022-10-11,24.77,Uncertainty,Experimental
417,2022-10-11,25.01,Uncertainty,Experimental
418,2022-10-11,24.64,Uncertainty,Experimental
419,2022-10-11,23.94,Uncertainty,Experimental
420,2022-10-11,24.92,No-Uncertainty,Experimental
421,2022-10-11,26.92,No-Uncertainty,Experimental
422,2022-10-11,25.16,No-Uncertainty,Experimental
