time,animal,pellets,motorTurns,battery,delay,protocol
1687173490,528,01,00,03,15,linea_basal
1687177768,528,02,00,03,15,linea_basal
1687177794,528,03,00,03,15,linea_basal
1687177796,528,04,00,03,15,linea_basal
1687177845,528,05,00,03,15,linea_basal
1687178691,528,06,00,03,15,linea_basal
1687184699,528,07,00,03,15,linea_basal
1687184809,528,08,00,03,15,linea_basal
1687185037,528,09,00,03,15,linea_basal
1687185043,528,10,00,03,15,linea_basal
1687187053,528,11,00,03,15,linea_basal
1687187057,528,12,00,03,15,linea_basal
1687187285,528,13,00,03,15,linea_basal
1687187292,528,14,00,03,15,linea_basal
1687187295,528,15,00,03,15,linea_basal
1687189080,528,16,00,03,15,linea_basal
1687189569,528,17,00,03,15,linea_basal
1687189571,528,18,00,03,15,linea_basal
1687190752,528,19,00,03,15,linea_basal
1687191136,528,20,00,03,15,linea_basal
1687191189,528,21,00,03,15,linea_basal
1687191228,528,22,00,03,15,linea_basal
1687191269,528,23,00,03,15,linea_basal
946684912,528,01,00,03,15,linea_basal
1687191599,528,01,00,03,15,linea_basal
1687191629,528,02,00,03,15,linea_basal
1687191729,528,03,00,03,15,linea_basal
1687191759,528,04,00,03,15,linea_basal
1687191788,528,05,00,03,15,linea_basal
1687191814,528,06,00,03,15,linea_basal
1687191847,528,07,00,03,15,linea_basal
1687191866,528,08,00,03,15,linea_basal
1687191888,528,09,00,03,15,linea_basal
1687191910,528,10,00,03,15,linea_basal
1687191934,528,01,00,00,01,linea_basal
1687191966,528,02,00,03,15,linea_basal
1687192087,528,03,00,03,15,linea_basal
1687192138,528,04,00,03,15,linea_basal
1687192176,528,05,00,03,15,linea_basal
1687192223,528,06,00,03,15,linea_basal
1687192263,528,07,00,03,15,linea_basal
1687192344,528,08,00,03,15,linea_basal
1687193394,528,09,00,03,15,linea_basal
1687194628,528,10,00,03,15,linea_basal
1687194652,528,11,00,03,15,linea_basal
1687194654,528,12,00,03,15,linea_basal
1687195076,528,13,00,03,15,linea_basal
1687195759,528,14,00,03,15,linea_basal
1687196289,528,15,00,03,15,linea_basal
1687196932,528,16,00,03,15,linea_basal
1687197360,528,17,00,03,15,linea_basal
1687197362,528,18,00,03,15,linea_basal
1687197366,528,19,00,03,15,linea_basal
1687198435,528,20,00,03,15,linea_basal
1687199072,528,21,00,03,15,linea_basal
1687199125,528,22,00,03,15,linea_basal
1687204113,528,23,00,03,15,linea_basal
1687216715,528,24,00,02,15,linea_basal
1687256128,528,25,00,01,15,linea_basal
1687256164,528,26,00,01,15,linea_basal
1687256256,528,27,00,01,15,linea_basal
1687256313,528,28,00,01,15,linea_basal
1687256359,528,29,00,01,15,linea_basal
1687256437,528,30,00,01,15,linea_basal
1687256538,528,31,00,01,15,linea_basal
1687256636,528,32,00,01,15,linea_basal
1687256754,528,33,00,01,15,linea_basal
1687256787,528,34,00,01,15,linea_basal
1687256821,528,35,00,01,15,linea_basal
1687262467,528,36,00,01,15,linea_basal
1687263888,528,37,00,01,15,linea_basal
1687264179,528,38,00,01,15,linea_basal
946684801,528,01,00,00,01,linea_basal
1687274954,528,01,00,00,01,linea_basal
1687275033,528,02,00,01,15,linea_basal
1687275087,528,03,00,01,15,linea_basal
1687275231,528,04,00,01,15,linea_basal
1687275797,528,05,00,01,15,linea_basal
1687275877,528,06,00,01,15,linea_basal
1687275878,528,07,00,01,15,linea_basal
1687276194,528,08,00,01,15,linea_basal
1687276305,528,09,00,01,15,linea_basal
1687276321,528,10,00,01,15,linea_basal
946684835,528,01,00,01,01,linea_basal
1687337075,528,01,00,00,01,linea_basal
1687337088,528,02,00,01,01,linea_basal
946684801,528,01,00,00,01,linea_basal
1687337303,528,01,00,04,01,linea_basal
1687339335,528,02,00,04,01,linea_basal
1687340022,528,03,00,04,01,linea_basal
1687340066,528,04,00,04,01,linea_basal
1687340118,528,05,00,04,01,linea_basal
1687340225,528,06,00,04,01,linea_basal
1687340248,528,07,00,04,01,linea_basal
1687340258,528,08,00,04,01,linea_basal
1687340281,528,09,00,04,01,linea_basal
1687340329,528,01,00,04,01,linea_basal
1687340351,528,02,00,04,01,linea_basal
1687340356,528,03,00,04,01,linea_basal
1687340373,528,04,00,04,01,linea_basal
1687340403,528,05,00,04,01,linea_basal
1687340425,528,06,00,04,01,linea_basal
1687340447,528,07,00,04,01,linea_basal
1687340459,528,08,00,04,01,linea_basal
1687340466,528,09,00,04,01,linea_basal
1687340471,528,10,00,04,01,linea_basal
1687340504,528,01,00,00,01,linea_basal
1687340517,528,02,00,04,01,linea_basal
1687340585,528,03,00,04,01,linea_basal
1687349858,528,04,00,04,15,linea_basal
1687350025,528,05,00,04,15,linea_basal
1687350131,528,06,00,04,15,linea_basal
1687350256,528,07,00,04,15,linea_basal
1687350297,528,08,00,04,15,linea_basal
1687350450,528,09,00,04,15,linea_basal
1687350501,528,10,00,04,15,linea_basal
1687352012,528,11,00,04,15,linea_basal
1687352229,528,12,00,04,15,linea_basal
1687352321,528,13,00,04,15,linea_basal
1687352563,528,14,00,04,15,linea_basal
1687352606,528,15,00,04,15,linea_basal
1687352652,528,16,00,04,15,linea_basal
1687352920,528,17,00,04,15,linea_basal
1687353335,528,18,00,04,15,linea_basal
1687354090,528,19,00,04,15,linea_basal
1687354234,528,20,00,04,15,linea_basal
1687354360,528,21,00,04,15,linea_basal
1687354480,528,22,00,04,15,linea_basal
1687354565,528,23,00,04,15,linea_basal
1687354760,528,24,00,04,15,linea_basal
1687355047,528,25,00,04,15,linea_basal
1687355105,528,26,00,04,15,linea_basal
1687355354,528,27,00,04,15,linea_basal
1687355434,528,28,00,04,15,linea_basal
1687355905,528,29,00,04,15,linea_basal
1687356043,528,30,00,04,15,linea_basal
1687356334,528,31,00,04,15,linea_basal
1687356451,528,32,00,04,15,linea_basal
1687356471,528,33,00,04,15,linea_basal
