time,animal,pellets,motorTurns,battery,delay,protocol
1687172577,525,01,00,00,01,linea_basal
1687176337,525,02,00,04,15,linea_basal
1687185140,525,03,00,04,15,linea_basal
1687186265,525,04,00,04,15,linea_basal
1687186629,525,05,00,04,15,linea_basal
1687187395,525,06,00,04,15,linea_basal
1687187590,525,07,00,04,15,linea_basal
1687187609,525,08,00,04,15,linea_basal
1687187630,525,09,00,04,15,linea_basal
1687187730,525,10,00,04,15,linea_basal
1687187803,525,11,00,04,15,linea_basal
1687187936,525,12,00,04,15,linea_basal
1687188058,525,13,00,04,15,linea_basal
1687188139,525,14,00,04,15,linea_basal
1687188182,525,15,00,04,15,linea_basal
1687188650,525,16,00,04,15,linea_basal
1687188738,525,17,00,04,15,linea_basal
1687189102,525,18,00,04,15,linea_basal
1687189187,525,19,00,04,15,linea_basal
1687189239,525,20,00,04,15,linea_basal
1687189379,525,21,00,04,15,linea_basal
1687189579,525,22,00,04,15,linea_basal
1687189812,525,23,00,04,15,linea_basal
1687190046,525,24,00,04,15,linea_basal
1687190050,525,25,00,04,15,linea_basal
1687190057,525,26,00,04,15,linea_basal
1687190131,525,27,00,04,15,linea_basal
1687190387,525,28,00,04,15,linea_basal
1687190533,525,29,00,04,15,linea_basal
1687190627,525,30,00,04,15,linea_basal
1687190782,525,31,00,04,15,linea_basal
1687190887,525,32,00,04,15,linea_basal
1687191284,525,33,00,04,15,linea_basal
1687191425,525,34,00,04,15,linea_basal
1687191653,525,35,00,04,15,linea_basal
1687192547,525,36,00,04,15,linea_basal
1687192587,525,37,00,04,15,linea_basal
1687192598,525,38,00,04,15,linea_basal
1687192993,525,39,00,04,15,linea_basal
1687193225,525,40,00,04,15,linea_basal
1687193297,525,41,00,04,15,linea_basal
1687193563,525,42,00,04,15,linea_basal
1687194247,525,43,00,04,15,linea_basal
1687194835,525,44,00,04,15,linea_basal
1687199099,525,45,00,04,15,linea_basal
1687199404,525,46,00,04,15,linea_basal
1687202283,525,47,00,04,15,linea_basal
1687202441,525,48,00,04,15,linea_basal
1687202500,525,49,00,04,15,linea_basal
1687203518,525,50,00,04,15,linea_basal
1687203641,525,51,00,04,15,linea_basal
1687203725,525,52,00,04,15,linea_basal
1687203841,525,53,00,04,15,linea_basal
1687204605,525,54,00,04,15,linea_basal
1687204997,525,55,00,04,15,linea_basal
1687208489,525,56,00,04,15,linea_basal
1687209445,525,57,00,04,15,linea_basal
1687209617,525,58,00,04,15,linea_basal
1687209832,525,59,00,04,15,linea_basal
1687209926,525,60,00,04,15,linea_basal
1687212650,525,61,00,04,15,linea_basal
1687212848,525,62,00,04,15,linea_basal
1687212937,525,63,00,04,15,linea_basal
1687213667,525,64,00,04,15,linea_basal
1687213858,525,65,00,04,15,linea_basal
1687214184,525,66,00,04,15,linea_basal
1687214295,525,67,00,04,15,linea_basal
1687215260,525,68,00,04,15,linea_basal
1687215359,525,69,00,04,15,linea_basal
1687215429,525,70,00,04,15,linea_basal
1687215722,525,71,00,04,15,linea_basal
1687216058,525,72,00,04,15,linea_basal
1687217026,525,73,00,04,15,linea_basal
1687217136,525,74,00,04,15,linea_basal
1687217302,525,75,00,04,15,linea_basal
1687217385,525,76,00,04,15,linea_basal
1687217513,525,77,00,04,15,linea_basal
1687217892,525,78,00,04,15,linea_basal
1687219065,525,79,00,04,15,linea_basal
1687219184,525,80,00,04,15,linea_basal
1687219338,525,81,00,04,15,linea_basal
1687219481,525,82,00,04,15,linea_basal
1687219671,525,83,00,04,15,linea_basal
1687219754,525,84,00,04,15,linea_basal
1687219906,525,85,00,04,15,linea_basal
1687220208,525,86,00,04,15,linea_basal
1687220479,525,87,00,04,15,linea_basal
1687220784,525,88,00,04,15,linea_basal
1687220857,525,89,00,04,15,linea_basal
1687223904,525,90,00,04,15,linea_basal
1687223975,525,91,00,04,15,linea_basal
1687224050,525,92,00,04,15,linea_basal
1687224122,525,93,00,04,15,linea_basal
1687224344,525,94,00,04,15,linea_basal
1687224414,525,95,00,04,15,linea_basal
1687229309,525,96,00,04,15,linea_basal
1687229422,525,97,00,04,15,linea_basal
1687229427,525,98,00,04,15,linea_basal
1687229492,525,99,00,04,15,linea_basal
1687229541,525,100,00,04,15,linea_basal
1687239032,525,101,00,04,15,linea_basal
1687239211,525,102,00,04,15,linea_basal
1687239294,525,103,00,04,15,linea_basal
1687239358,525,104,00,04,15,linea_basal
1687247048,525,105,00,04,15,linea_basal
1687247078,525,106,00,04,15,linea_basal
1687247366,525,107,00,04,15,linea_basal
1687247461,525,108,00,04,15,linea_basal
1687247532,525,109,00,04,15,linea_basal
1687247695,525,110,00,04,15,linea_basal
1687247772,525,111,00,04,15,linea_basal
1687251005,525,112,00,04,15,linea_basal
1687254996,525,113,00,04,15,linea_basal
1687255298,525,114,00,04,15,linea_basal
1687258717,525,115,00,04,15,linea_basal
1687258820,525,116,00,04,15,linea_basal
1687259587,525,117,00,04,15,linea_basal
1687259906,525,118,00,04,15,linea_basal
1687260038,525,119,00,04,15,linea_basal
1687260112,525,120,00,04,15,linea_basal
1687274032,525,01,00,00,01,linea_basal
1687274098,525,01,00,00,01,linea_basal
1687274168,525,01,00,00,01,linea_basal
946684801,525,01,00,00,01,linea_basal
1687275737,525,01,00,04,15,linea_basal
1687275778,525,02,00,04,15,linea_basal
1687276199,525,03,00,04,15,linea_basal
1687276280,525,04,00,04,15,linea_basal
1687276359,525,05,00,04,15,linea_basal
1687336949,525,01,00,00,01,linea_basal
1687338842,525,02,00,04,01,linea_basal
1687339264,525,03,00,04,01,linea_basal
1687339332,525,04,00,04,01,linea_basal
1687339410,525,05,00,04,01,linea_basal
1687339426,525,06,00,04,01,linea_basal
1687339434,525,07,00,04,01,linea_basal
1687339515,525,08,00,04,01,linea_basal
1687339752,525,09,00,04,01,linea_basal
1687339784,525,10,00,04,01,linea_basal
1687339914,525,11,00,04,01,linea_basal
1687340332,525,12,00,04,01,linea_basal
1687340340,525,13,00,04,01,linea_basal
1687340665,525,14,00,04,01,linea_basal
1687340677,525,15,00,04,01,linea_basal
1687340679,525,16,00,04,01,linea_basal
1687340684,525,17,00,04,01,linea_basal
1687340687,525,18,00,04,01,linea_basal
1687340688,525,19,00,04,01,linea_basal
1687340694,525,20,00,04,01,linea_basal
1687340758,525,21,00,04,01,linea_basal
1687340761,525,22,00,04,01,linea_basal
1687340761,525,23,00,04,01,linea_basal
1687340768,525,24,00,04,01,linea_basal
1687340779,525,25,00,04,01,linea_basal
1687340782,525,26,00,04,01,linea_basal
1687340841,525,01,00,04,01,linea_basal
1687340847,525,02,00,04,01,linea_basal
1687340865,525,03,00,04,01,linea_basal
1687340869,525,04,00,04,01,linea_basal
1687340870,525,05,00,04,01,linea_basal
1687340871,525,06,00,04,01,linea_basal
1687340872,525,07,00,04,01,linea_basal
1687340873,525,08,00,04,01,linea_basal
1687341526,525,01,00,00,01,linea_basal
1687341623,525,01,00,04,01,linea_basal
1687341663,525,02,00,04,01,linea_basal
1687341826,525,03,00,04,01,linea_basal
1687341920,525,04,00,04,01,linea_basal
1687348247,525,05,00,04,01,linea_basal
1687348563,525,06,00,04,01,linea_basal
1687349425,525,07,00,04,15,linea_basal
1687349690,525,08,00,04,15,linea_basal
1687349733,525,09,00,04,15,linea_basal
1687349931,525,10,00,04,15,linea_basal
1687350007,525,11,00,04,15,linea_basal
1687350199,525,12,00,04,15,linea_basal
1687350271,525,13,00,04,15,linea_basal
1687350406,525,14,00,04,15,linea_basal
1687350609,525,15,00,04,15,linea_basal
1687354427,525,16,00,04,15,linea_basal
1687354515,525,17,00,04,15,linea_basal
1687354604,525,18,00,04,15,linea_basal
1687354644,525,19,00,04,15,linea_basal
1687354720,525,20,00,04,15,linea_basal
1687356026,525,21,00,04,15,linea_basal
1687356127,525,22,00,04,15,linea_basal
1687356972,525,23,00,04,15,linea_basal
1687357377,525,24,00,04,15,linea_basal
1687357617,525,25,00,04,15,linea_basal
1687358107,525,26,00,04,15,linea_basal
1687358271,525,27,00,04,15,linea_basal
